# Metric Evaluation
# Base Directory: /rds/project/rds-DKRMHAHoC3M/nemo/data/DINO/etienne_restart3_temporal_cadence/nemo-spinup-bench/examples/1-resampling-temporal-data/resampled
# Mesh Mask: /rds/project/rds-DKRMHAHoC3M/nemo/data/DINO/etienne_restart3_temporal_cadence/nemo-spinup-bench/examples/1-resampling-temporal-data/resampled/mesh_mask.nc
# Restart File: /rds/project/rds-DKRMHAHoC3M/nemo/data/DINO/etienne_restart3_temporal_cadence/nemo-spinup-bench/examples/1-resampling-temporal-data/resampled/DINO_35524800_restart.nc
# Output Files:
#   - /rds/project/rds-DKRMHAHoC3M/nemo/data/DINO/etienne_restart3_temporal_cadence/nemo-spinup-bench/examples/1-resampling-temporal-data/resampled/DINO_10d_grid_inst_T_3D.nc
#   - /rds/project/rds-DKRMHAHoC3M/nemo/data/DINO/etienne_restart3_temporal_cadence/nemo-spinup-bench/examples/1-resampling-temporal-data/resampled/DINO_10d_grid_inst_U_3D.nc
#   - /rds/project/rds-DKRMHAHoC3M/nemo/data/DINO/etienne_restart3_temporal_cadence/nemo-spinup-bench/examples/1-resampling-temporal-data/resampled/DINO_10d_grid_inst_V_3D.nc
#
timestamp,check_density_from_file,temperature_500m_30NS_metric,temperature_BWbox_metric,temperature_DWbox_metric,ACC_Drake_metric,ACC_Drake_metric_2,NASTG_BSF_max,check_density_computed
3060-01-11 00:00:00,Error: 'density',10.342304,4.329760,5.459540,209.681537,Error: 'ssh',Error: 'ssh',0.005349
3060-01-21 00:00:00,Error: 'density',10.348607,4.329244,5.460733,220.648295,Error: 'ssh',Error: 'ssh',0.005353
3060-02-01 00:00:00,Error: 'density',10.353769,4.328340,5.462418,201.121326,Error: 'ssh',Error: 'ssh',0.005182
3060-02-11 00:00:00,Error: 'density',10.353645,4.328150,5.463064,199.994963,Error: 'ssh',Error: 'ssh',0.005036
3060-02-21 00:00:00,Error: 'density',10.348490,4.329641,5.461946,203.749491,Error: 'ssh',Error: 'ssh',0.004936
3060-03-01 00:00:00,Error: 'density',10.343725,4.331705,5.460717,230.762483,Error: 'ssh',Error: 'ssh',0.004792
3060-03-11 00:00:00,Error: 'density',10.343851,4.332933,5.460826,209.403828,Error: 'ssh',Error: 'ssh',0.004761
3060-03-21 00:00:00,Error: 'density',10.344365,4.333226,5.461185,203.122790,Error: 'ssh',Error: 'ssh',0.004732
3060-04-01 00:00:00,Error: 'density',10.339360,4.333851,5.461163,196.488245,Error: 'ssh',Error: 'ssh',0.004674
3060-04-11 00:00:00,Error: 'density',10.332119,4.335326,5.460058,195.741915,Error: 'ssh',Error: 'ssh',0.004645
3060-04-21 00:00:00,Error: 'density',10.326625,4.335988,5.459067,219.174456,Error: 'ssh',Error: 'ssh',0.004655
3060-05-01 00:00:00,Error: 'density',10.318272,4.337017,5.457670,219.825919,Error: 'ssh',Error: 'ssh',0.004571
3060-05-11 00:00:00,Error: 'density',10.315859,4.337286,5.457456,191.823478,Error: 'ssh',Error: 'ssh',0.004523
3060-05-21 00:00:00,Error: 'density',10.322665,4.336476,5.458201,189.741844,Error: 'ssh',Error: 'ssh',0.004455
3060-06-01 00:00:00,Error: 'density',10.322857,4.336130,5.458191,171.791107,Error: 'ssh',Error: 'ssh',0.004348
3060-06-11 00:00:00,Error: 'density',10.314226,4.336646,5.457375,176.045452,Error: 'ssh',Error: 'ssh',0.004350
3060-06-21 00:00:00,Error: 'density',10.307232,4.335529,5.457407,210.196188,Error: 'ssh',Error: 'ssh',0.004361
3060-07-01 00:00:00,Error: 'density',10.307244,4.334440,5.457371,224.643491,Error: 'ssh',Error: 'ssh',0.004408
3060-07-11 00:00:00,Error: 'density',10.308845,4.333632,5.457803,207.936201,Error: 'ssh',Error: 'ssh',0.004400
3060-07-21 00:00:00,Error: 'density',10.307715,4.332876,5.458077,180.538126,Error: 'ssh',Error: 'ssh',0.004385
3060-08-01 00:00:00,Error: 'density',10.314153,4.331979,5.458367,188.115977,Error: 'ssh',Error: 'ssh',0.004455
3060-08-11 00:00:00,Error: 'density',10.310858,4.331741,5.457547,207.453259,Error: 'ssh',Error: 'ssh',0.004474
3060-08-21 00:00:00,Error: 'density',10.305098,4.331554,5.456736,215.529133,Error: 'ssh',Error: 'ssh',0.004491
3060-09-01 00:00:00,Error: 'density',10.301764,4.330727,5.456550,198.431786,Error: 'ssh',Error: 'ssh',0.004612
3060-09-11 00:00:00,Error: 'density',10.302218,4.328937,5.456645,196.736729,Error: 'ssh',Error: 'ssh',0.004574
3060-09-21 00:00:00,Error: 'density',10.297570,4.328556,5.455734,217.873068,Error: 'ssh',Error: 'ssh',0.004624
3060-10-01 00:00:00,Error: 'density',10.292622,4.328659,5.454498,190.228989,Error: 'ssh',Error: 'ssh',0.004737
